top - 19:09:16 up 8 days,  1:13,  1 user,  load average: 1.60, 2.04, 1.89
Tasks: 182 total,   2 running, 180 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.1 us,  8.6 sy,  0.0 ni, 82.9 id,  0.0 wa,  1.4 hi,  0.0 si,  0.0 st
MiB Mem :   7810.7 total,   1928.2 free,   2222.8 used,   3659.7 buff/cache
MiB Swap:    512.0 total,    511.9 free,      0.1 used.   5044.6 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  511 root      20   0  438256  89220  57348 S  18.8   1.1 146:16.81 Xorg
30503 vlad      20   0 5870688 802096  40792 S  18.8  10.0   7:00.57 java
19684 vlad      20   0 1449324 111940  73412 S   6.2   1.4   8:35.25 Discord
19742 vlad      20   0 2126340 243688 101112 S   6.2   3.0  12:05.18 Discord
31131 vlad      25   5   53516  45192   1076 R   6.2   0.6   0:00.06 ex2
31140 vlad      20   0   19276   3320   2960 R   6.2   0.0   0:00.02 top
    1 root      20   0  215704   8952   6744 S   0.0   0.1   0:06.58 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.27 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:16.26 ksoftirqd/0
   10 root      -2   0       0      0      0 I   0.0   0.0   0:52.74 rcu_preempt
   11 root      -2   0       0      0      0 I   0.0   0.0   0:02.53 rcu_sched
   12 root      -2   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   13 root      -2   0       0      0      0 S   0.0   0.0   0:14.01 rcuc/0
   14 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcub/0
   15 root      rt   0       0      0      0 S   0.0   0.0   0:00.31 migration/0
   16 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 watchdog/0
   17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   18 root      20   0       0      0      0 S   0.0   0.0   0:00.08 cpuhp/1
   19 root      rt   0       0      0      0 S   0.0   0.0   0:00.44 watchdog/1
   20 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migration/1
   21 root      -2   0       0      0      0 S   0.0   0.0   0:10.54 rcuc/1
   22 root      20   0       0      0      0 S   0.0   0.0   0:07.60 ksoftirqd/1
   24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-kblockd
   25 root      20   0       0      0      0 S   0.0   0.0   0:00.07 cpuhp/2
   26 root      rt   0       0      0      0 S   0.0   0.0   0:00.46 watchdog/2
   27 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/2
   28 root      -2   0       0      0      0 S   0.0   0.0   0:08.51 rcuc/2
   29 root      20   0       0      0      0 S   0.0   0.0   0:06.27 ksoftirqd/2
   31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
   32 root      20   0       0      0      0 S   0.0   0.0   0:00.09 cpuhp/3
   33 root      rt   0       0      0      0 S   0.0   0.0   0:00.44 watchdog/3
   34 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migration/3
   35 root      -2   0       0      0      0 S   0.0   0.0   0:08.49 rcuc/3
   36 root      20   0       0      0      0 S   0.0   0.0   0:05.42 ksoftirqd/3
   38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
   39 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmpfs
   40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
   42 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
   46 root      20   0       0      0      0 S   0.0   0.0   0:00.24 khungtaskd
   47 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   50 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   51 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
   52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
   54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
   56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   57 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   61 root      20   0       0      0      0 S   0.0   0.0   0:01.85 kswapd0
  102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
  103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
  104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
  105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
  106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
  107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
  116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
  168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
  169 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh_0
  170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  171 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh_1
  172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  177 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/2:1H-kblockd
  178 root       0 -20       0      0      0 I   0.0   0.0   0:00.35 kworker/0:1H-kblockd
  179 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker/1:1H-kblockd
  189 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/u9:0-hci0
  203 root      20   0       0      0      0 S   0.0   0.0   0:18.17 jbd2/sda5-8
  204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
  228 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/3:1H-kblockd
  230 root      20   0   91320  22216  21260 S   0.0   0.3   0:04.83 systemd-journal
  244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VBoxWQueue
  245 root      20   0       0      0      0 S   0.0   0.0   0:00.03 iprt-VBoxTscThr
  246 root      20   0   80296   1344   1208 S   0.0   0.0   0:00.00 lvmetad
  253 root      20   0   68808   8252   5380 S   0.0   0.1   0:07.22 systemd-udevd
  270 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/117-ACPI:Ev
  271 root     -51   0       0      0      0 S   0.0   0.0   7:19.62 irq/118-SYNA7DB
  313 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
  321 root      -2   0       0      0      0 S   0.0   0.0   0:00.01 i915/signal:0
  322 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/signal:1
  323 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/signal:2
  324 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/signal:6
  419 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmemstick
  421 root      20   0       0      0      0 I   0.0   0.0   0:31.73 rtsx_usb_ms_1
  462 root      20   0   50396   6076   5256 S   0.0   0.1   0:03.04 systemd-logind
  464 dbus      20   0   13284   4844   3488 S   0.0   0.1   1:00.64 dbus-daemon
  465 root      20   0  987168  21588  15204 S   0.0   0.3   1:25.19 NetworkManager
  474 root      20   0    3336   2440   1808 S   0.0   0.0   0:01.18 dhcpcd
  499 root      20   0 1374612  74804  41240 S   0.0   0.9  10:46.62 dockerd
  501 root      20   0  144516  14792  13500 S   0.0   0.2   0:00.12 sddm
  503 postgres  20   0  226600  22552  21172 S   0.0   0.3   0:00.42 postgres
  521 root      20   0   20924   7500   6324 S   0.0   0.1   0:08.83 wpa_supplicant
